Group,Category,Code,Long Description,Short Description
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2112,"Patient receiving <=5 mg daily prednisone (or equivalent), or ra activity is worsening, or glucocorticoid use is for less than 6 months",Pred<=5 mg ra glu <6m
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2113,"Patient receiving >5 mg daily prednisone (or equivalent) for longer than 6 months, and improvement or no change in disease activity","Pred>5 mg >6m, no chg da"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2114,"Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and a dispensed medication for dementia during the measurement period or the year prior to the measurement period
                                    
                                        
Terminated December 31, 2020.",Pt 66-80 frailty and med dem
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2115,Patients 66 - 80 years of age with at least one claim/encounter for frailty during the measurement period and a dispensed medication for dementia during the measurement period or the year prior to the measurement period,Pt 66-80 frailty and med dem
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2116,Patients 66 - 80 years of age with at least one claim/encounter for frailty during the measurement period and an advanced illness diagnosis during the measurement period or the year prior to the measurement period,Pt 66-80 frailty and adv ill
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2117,"Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period
                                    
                                        
Terminated December 31, 2020.",Pt 66-80 frailty and adv ill
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2118,Patients 81 years of age and older with at least one claim/encounter for frailty during the measurement period,Pt 81+ frailty
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2119,"Within the past 2 years, calcium and/or vitamin d optimization has been ordered or performed
                                    
                                        
Terminated December 31, 2020.",Calc vitd opt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2120,"Within the past 2 years, calcium and/or vitamin d optimization has not been ordered or performed
                                    
                                        
Terminated December 31, 2020.",No calc vitd opt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2121,"Depression, anxiety, apathy, and psychosis assessed",Psy dep anx ap and icd asse
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2122,"Depression, anxiety, apathy, and psychosis not assessed",Psy/dep/anx/apandicd noasse
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2123,"Patients 66-80 years of age and had at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period
                                    
                                        
Terminated December 31, 2020.",Pt 66-80 frailty med dem
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2124,"Patients 66-80 years of age and had at least one claim/encounter for frailty during the measurement period and a dispensed dementia medication
                                    
                                        
Terminated December 31, 2020.",Pt 66-80 frailty adv ill
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2125,Patients 81 years of age and older with at least one claim/encounter for frailty during the six months prior to the measurement period through  december 31 of the measurement period,Pt 81+ frailty
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2126,Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and an advanced illness diagnosis during the measurement period or the year prior to the measurement period,Pt 66-80 frailty and adv ill
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2127,Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and a dispensed medication for dementia during the measurement period or the year prior to the measurement period,Pt 66-80 frailty and med dem
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2128,"Documentation of medical reason(s) for not on a daily aspirin or other antiplatelet (e.g. history of gastrointestinal bleed, intra-cranial bleed, blood disorders, idiopathic thrombocytopenic purpura (itp), gastric bypass or documentation of active anticoagulant use during the measurement period)",No aspirin med rsn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2129,"Procedure-related bp's not taken during an outpatient visit. examples include same day surgery, ambulatory service center, g.i. lab, dialysis, infusion center, chemotherapy",No bp outpt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2130,"Patients age 66 or older in institutional special needs plans (snp) or residing in long-term care with pos code 32, 33, 34, 54 or 56 for more than 90 days during the measurement period
                                    
                                        
Terminated December 31, 2020.",Pt 66+ lt inst > 90
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2131,"Patients 81 years and older with a diagnosis of frailty
                                    
                                        
Terminated December 31, 2020.",Pt 81+ frailty
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2132,"Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and a dispensed medication for dementia during the measurement period or the year prior to the measurement period
                                    
                                        
Terminated December 31, 2020.",Pt 66-80 frailty and med dem
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2133,"Patients 66-80 years of age with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period
                                    
                                        
Terminated December 31, 2020.",Pt 66-80 frailty and adv ill
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2134,"Patients 66 years of age or older with at least one claim/encounter for frailty during the measurement period and a dispensed medication for dementia during the measurement period or the year prior to the measurement period
                                    
                                        
Terminated December 31, 2020.",Pt 66+ frailty and med dem
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2135,"Patients 66 years of age or older with at least one claim/encounter for frailty during the measurement period and either one acute inpatient encounter with a diagnosis of advanced illness or two outpatient, observation, ed or nonacute inpatient encounters on different dates of service with an advanced illness diagnosis during the measurement period or the year prior to the measurement period
                                    
                                        
Terminated December 31, 2020.",Pt 66+ frailty and adv ill
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2136,Back pain measured by the visual analog scale (vas) or numeric pain scale at three months (6 - 20 weeks) postoperatively was less than or equal to 3.0 or back pain measured by the visual analog scale (vas) or numeric pain scale within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated an improvement of 5.0 points or greater,Bk pain vas 6-20wk <= 3
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2137,Back pain measured by the visual analog scale (vas) or numeric pain scale at three months (6 - 20 weeks) postoperatively was greater than 3.0 and back pain measured by the visual analog scale (vas) or numeric pain scale within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated improvement of less than 5.0 points,Bk pain vas 6-20wk > 3
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2138,Back pain as measured by the visual analog scale (vas) or numeric pain scale at one year (9 to 15 months) postoperatively was less than or equal to 3.0 or back pain measured by the visual analog scale (vas) or numeric pain scale within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated an improvement of 5.0 points or greater,Bk pain vas 9-15mo <= 3
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2139,Back pain measured by the visual analog scale (vas) or numeric pain scale at one year (9 to 15 months) postoperatively was greater than 3.0 and back pain measured by the visual analog scale (vas) or numeric pain scale within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated improvement of less than 5.0 points,Bk pain vas 9-15mo > 3
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2140,Leg pain measured by the visual analog scale (vas) or numeric pain scale at three months (6 - 20 weeks) postoperatively was less than or equal to 3.0 or leg pain measured by the visual analog scale (vas) or numeric pain scale within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated an improvement of 5.0 points or greater,Leg pain vas 6-20wk <= 3
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2141,Leg pain measured by the visual analog scale (vas) or numeric pain scale at three months (6 - 20 weeks) postoperatively was greater than 3.0 and leg pain measured by the visual analog scale (vas) or numeric pain scale within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated improvement of less than 5.0 points,Leg pain vas 6-20wk > 3
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2142,Functional status measured by the oswestry disability index (odi version 2.1a) at one year (9 to 15 months) postoperatively was less than or equal to 22 or functional status measured by the odi version 2.1a within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated an improvement of 30 points or greater,Fs odi 9-15mo postop<= 22
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2143,Functional status measured by the oswestry disability index (odi version 2.1a) at one year (9 to 15 months) postoperatively was greater than 22 and functional status measured by the odi version 2.1a within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated an improvement of less than 30 points,Fs odi 9-15mo > 22
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2144,Functional status measured by the oswestry disability index (odi version 2.1a) at three months (6-20 weeks) postoperatively was less than or equal to 22 or functional status measured by the odi version 2.1a within three months preoperatively and at three months (6-20 weeks) postoperatively demonstrated an improvement of 30 points or greater,Fs odi 6-20wk postop <= 22
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2145,Functional status measured by the oswestry disability index (odi version 2.1a) at three months (6 - 20 weeks) postoperatively was greater than 22 and functional status measured by the odi version 2.1a within three months preoperatively and at three months (6 - 20 weeks) postoperatively demonstrated an improvement of less than 30 points,Fsodi 6-20wk >22 or chg 30pt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2146,Leg pain as measured by the visual analog scale (vas) or numeric pain scale at one year (9 to 15 months) postoperatively was less than or equal to 3.0 or leg pain measured by the visual analog scale (vas) or numeric pain scale within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated an improvement of 5.0 points or greater,Leg pain vas 9-15mo <= 3
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2147,Leg pain measured by the visual analog scale (vas) or numeric pain scale at one year (9 to 15 months) postoperatively was greater than 3.0 and leg pain measured by the visual analog scale (vas) or numeric pain scale within three months preoperatively and at one year (9 to 15 months) postoperatively demonstrated improvement of less than 5.0 points,Leg pain vas 9-15mo > 3
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2148,Multimodal pain management was used,Mpm used
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2149,"Documentation of medical reason(s) for not using multimodal pain management (e.g., allergy to multiple classes of analgesics, intubated patient, hepatic failure, patient reports no pain during pacu stay, other medical reason(s))",No mpm med rsn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2150,Multimodal pain management was not used,No mpm
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2151,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care",Dx degen neuro
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2152,Residual score for the neck impairment successfully calculated and the score was equal to zero (0) or greater than zero (> 0),Res change sc >=0
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2153,"In hospice or using hospice services during the measurement period
                                    
                                        
Terminated December 31, 2020.",Hosp dur meas pd
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2154,"Patient received at least one td vaccine or one tdap vaccine between nine years prior to the start of the measurement period and the end of the measurement period
                                    
                                        
Terminated December 31, 2020.",Td 9 yrs start end meas
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2155,"Patient had history of at least one of the following contraindications any time during or before the measurement period: anaphylaxis due to tdap vaccine, anaphylaxis due to td vaccine or its components; encephalopathy due to tdap or td vaccination (post tetanus vaccination encephalitis, post diphtheria vaccination encephalitis or post pertussis vaccination encephalitis.)
                                    
                                        
Terminated December 31, 2020.",Hist contraindications
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2156,"Patient did not receive at least one td vaccine or one tdap vaccine between nine years prior to the start of the measurement period and the end of the measurement period; or have history of at least one of the following contraindications any time during or before the measurement period: anaphylaxis due to tdap vaccine, anaphylaxis due to td vaccine or its components; encephalopathy due to tdap or td vaccination (post tetanus vaccination encephalitis, post diphtheria vaccination encephalitis or post pertussis vaccination encephalitis.)
                                    
                                        
Terminated December 31, 2020.",No prior td or hx contra
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2157,"Patients received both the 13-valent pneumococcal conjugate vaccine and the 23-valent pneumococcal polysaccharide vaccine at least 12 months apart, with the first occurrence after the age of 60 before or during the measurement period
                                    
                                        
Terminated December 31, 2020.",Pneum vacc 12 mo 60+
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2158,"Patient had prior pneumococcal vaccine adverse reaction any time during or before the measurement period
                                    
                                        
Terminated December 31, 2020.",Pneum vacc adv rx
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2159,"Patient did not receive both the 13-valent pneumococcal conjugate vaccine and the 23-valent pneumococcal polysaccharide vaccine at least 12 months apart, with the first occurrence after the age of 60 before or during measurement period; or have prior pneumococcal vaccine adverse reaction any time during or before the measurement period
                                    
                                        
Terminated December 31, 2020.",No pneum vacc 12 mo 60+
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2160,"Patient received at least one dose of the herpes zoster live vaccine or two doses of the herpes zoster recombinant vaccine (at least 28 days apart) anytime on or after the patient's 50th birthday before or during the measurement period
                                    
                                        
Terminated December 31, 2020.",Herpzos 50+
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2161,"Patient had prior adverse reaction caused by zoster vaccine or its components any time during or before the measurement period
                                    
                                        
Terminated December 31, 2020.",Adv rx zos
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2162,"Patient did not receive at least one dose of the herpes zoster live vaccine or two doses of the herpes zoster recombinant vaccine (at least 28 days apart) anytime on or after the patient's 50th birthday before or during the measurement period; or have prior adverse reaction caused by zoster vaccine or its components any time during or before the measurement period
                                    
                                        
Terminated December 31, 2020.",No herpzos 50+
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2163,"Patient received an influenza vaccine on or between july 1 of the year prior to the measurement period and june 30 of the measurement period
                                    
                                        
Terminated December 31, 2020.",Infl vacc 07/01 to 06/30
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2164,"Patient had a prior influenza virus vaccine adverse reaction any time before or during the measurement period
                                    
                                        
Terminated December 31, 2020.",Adv rx infl vacc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2165,"Patient did not receive an influenza vaccine on or between july 1 of the year prior to the measurement period and june 30 of the measurement period; or did not have a prior influenza virus vaccine adverse reaction any time before or during the measurement period
                                    
                                        
Terminated December 31, 2020.",No infl vacc 07/01 to 06/30
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2166,"Patient refused to participate at admission and/or discharge; patient unable to complete the neck fs prom at admission or discharge due to cognitive deficit, visual deficit, motor deficit, language barrier, or low reading level, and a suitable proxy/recorder is not available; patient self-discharged early; medical reason
                                    
                                        
Terminated December 31, 2020.",No pt adm dx no neck fs prom
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2167,Residual score for the neck impairment successfully calculated and the score was less than zero (< 0),Res change sc < 0
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2168,"Services performed by a physical therapist assistant in the home health setting in the delivery of a safe and effective physical therapy maintenance program, each 15 minutes",Svs by pt in home health
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2169,"Services performed by an occupational therapist assistant in the home health setting in the delivery of a safe and effective occupational therapy maintenance program, each 15 minutes",Svs by ot in home health
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2170,"Percutaneous arteriovenous fistula creation (avf), direct, any site, by tissue approximation using thermal resistance energy, and secondary procedures to redirect blood flow (e.g., transluminal balloon angioplasty, coil embolization) when performed, and includes all imaging and radiologic guidance, supervision and interpretation, when performed
                                    
                                        
Terminated December 31, 2022.",Avf by tissue w thermal e
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2171,"Percutaneous arteriovenous fistula creation (avf), direct, any site, using magnetic-guided arterial and venous catheters and radiofrequency energy, including flow-directing procedures (e.g., vascular coil embolization with radiologic supervision and interpretation, wen performed) and fistulogram(s), angiography, enography, and/or ultrasound, with radiologic supervision and interpretation, when performed
                                    
                                        
Terminated December 31, 2022.",Avf use magnetic/art/ven
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2172,All inclusive payment for services related to highly coordinated and integrated opioid use disorder (oud) treatment services furnished for the demonstration project,Tx for opioid use demo proj
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2173,"Uri episodes where the patient had a comorbid condition during the 12 months prior to or on the episode date (e.g., tuberculosis, neutropenia, cystic fibrosis, chronic bronchitis, pulmonary edema, respiratory failure, rheumatoid lung disease)",Uri w comorb 12m oth dx
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2174,Uri episodes where the patient is taking antibiotics (table 1) in the 30 days prior to the episode date,Uri new rx antibiotic 30d
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2175,"Episodes where the patient had a comorbid condition during the 12 months prior to or on the episode date (e.g., tuberculosis, neutropenia, cystic fibrosis, chronic bronchitis, pulmonary edema, respiratory failure, rheumatoid lung disease)",Pt comorb dx 12m of epi
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2176,"Outpatient, ed, or observation visits that result in an inpatient admission",Outpt ed obs w inpt admit
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2177,Acute bronchitis/bronchiolitis episodes when the patient had a new or refill prescription of antibiotics (table 1) in the 30 days prior to the episode date,Bronch w rx antibx 30d
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2178,"Clinician documented that patient was not an eligible candidate for lower extremity neurological exam measure, for example patient bilateral amputee; patient has condition that would not allow them to accurately respond to a neurological exam (dementia, alzheimer's, etc.); patient has previously documented diabetic peripheral neuropathy with loss of protective sensation",Pt not elig low neuro ex
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2179,Clinician documented that patient had medical reason for not performing lower extremity neurological exam,Med doc rsn no low ex
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2180,Clinician documented that patient was not an eligible candidate for evaluation of footwear as patient is bilateral lower extremity amputee,Inelig footwr eval
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2181,Bmi not documented due to medical reason or patient refusal of height or weight measurement,Bmi not doc medrsn ptref
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2182,Patient receiving first-time biologic and/or immune response modifier therapy,Pt 1st biolog antirheum
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2183,Documentation patient unable to communicate and informant not available,Doc pt unable comm
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2184,Patient does not have a caregiver,No caregiver
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2185,Documentation caregiver is trained and certified in dementia care,Caregiver dem trained
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2186,Patient /caregiver dyad has been referred to appropriate resources and connection to those resources is confirmed,Pt ref app rsrcs
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2187,Patients with clinical indications for imaging of the head: head trauma,Clin ind img hd trauma
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2188,Patients with clinical indications for imaging of the head: new or change in headache above 50 years of age,Pt 50 yrs w/clin ind hd
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2189,Patients with clinical indications for imaging of the head: abnormal neurologic exam,Img hd abnml neuro exam
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2190,Patients with clinical indications for imaging of the head: headache radiating to the neck,Ind img hd rad neck
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2191,Patients with clinical indications for imaging of the head: positional headaches,Ind img hd pos hd ache
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2192,Patients with clinical indications for imaging of the head: temporal headaches in patients over 55 years of age,>55 yrs temp hd ache
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2193,Patients with clinical indications for imaging of the head: new onset headache in pre-school children or younger (<6 years of age),<6yr new onset hd ache
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2194,Patients with clinical indications for imaging of the head: new onset headache in pediatric patients with disabilities for which headache is a concern as inferred from behavior,New hdache ped pt dis
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2195,Patients with clinical indications for imaging of the head: occipital headache in children,Occip hdache child
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2196,Patient identified as an unhealthy alcohol user when screened for unhealthy alcohol use using a systematic screening method,Screen unhlthy etoh use
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2197,Patient screened for unhealthy alcohol use using a systematic screening method and not identified as an unhealthy alcohol user,Screen hlthy etoh use
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2198,"Documentation of medical reason(s) for not screening for unhealthy alcohol use using a systematic screening method (e.g., limited life expectancy, other medical reasons)
                                    
                                        
Terminated December 31, 2022.",Med rsn no unhlthy etoh
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2199,Patient not screened for unhealthy alcohol use using a systematic screening method,Not scrn etoh no rsn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2200,Patient identified as an unhealthy alcohol user received brief counseling,Unhlthy etoh rcvd couns
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2201,"Documentation of medical reason(s) for not providing brief counseling (e.g., limited life expectancy, other medical reasons)
                                    
                                        
Terminated December 31, 2022.",Med rsn no brief couns
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2202,Patient did not receive brief counseling if identified as an unhealthy alcohol user,No rsn no brief couns
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2203,"Documentation of medical reason(s) for not providing brief counseling if identified as an unhealthy alcohol user (e.g., limited life expectancy, other medical reasons)
                                    
                                        
Terminated December 31, 2022.",Med rsn no etoh couns
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2204,Patients between 45 and 85 years of age who received a screening colonoscopy during the performance period,Pt 45-85 w/ scope
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2205,Patients with pregnancy during adjuvant treatment course,Preg drng adjv trtmt
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2206,Patient received adjuvant treatment course including both chemotherapy and her2-targeted therapy,Adjv trtmt chemo her2
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2207,"Reason for not administering adjuvant treatment course including both chemotherapy and her2-targeted therapy (e.g. poor performance status (ecog 3-4; karnofsky <=50), cardiac contraindications, insufficient renal function, insufficient hepatic function, other active or secondary cancer diagnoses, other medical contraindications, patients who died during initial treatment course or transferred during or after initial treatment course)",Rsn no trtmt chem her2
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2208,Patient did not receive adjuvant treatment course including both chemotherapy and her2-targeted therapy,No trtmt chemo and her2
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2209,Patient refused to participate,Refused to participate
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2210,"Residual score for the neck impairment not measured because the patient did not complete the neck fs prom at initial evaluation and/or near discharge, reason not given",No neck fs prom no rsn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2211,"Visit complexity inherent to evaluation and management associated with medical care services that serve as the continuing focal point for all needed health care services and/or with medical care services that are part of ongoing care related to a patient's single, serious condition or a complex condition.  (add-on code, list separately in addition to office/outpatient evaluation and management visit, new or established)",Complex e/m visit add on
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2212,"Prolonged office or other outpatient evaluation and management service(s) beyond the maximum required time of the primary procedure which has been selected using total time on the date of the primary service; each additional 15 minutes by the physician or qualified healthcare professional, with or without direct patient contact (list separately in addition to cpt codes 99205, 99215, 99483 for office or other outpatient evaluation and management services) (do not report g2212 on the same date of service as 99358, 99359, 99415, 99416). (do not report g2212 for any time unit less than 15 minutes)",Prolong outpt/office vis
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2213,"Initiation of medication for the treatment of opioid use disorder in the emergency department setting, including assessment, referral to ongoing care, and arranging access to supportive services (list separately in addition to code for primary procedure)",Initiat med assist tx in er
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2214,"Initial or subsequent psychiatric collaborative care management, first 30 minutes in a month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional",Init/sub psych care m 1st 30
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2215,Take-home supply of nasal naloxone; 2-pack of 4mg per 0.1 ml nasal spray (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure,Home supply nasal naloxone
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2216,Take-home supply of injectable naloxone (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure,Home supply inject naloxon
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2250,"Remote assessment of recorded video and/or images submitted by an established patient (e.g., store and forward), including interpretation with follow-up with the patient within 24 business hours, not originating from a related service provided within the previous 7 days nor leading to a service or procedure within the next 24 hours or soonest available appointment","Remot img sub by pt, non e/m"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2251,"Brief communication technology-based service, e.g. virtual check-in, by a qualified health care professional who cannot report evaluation and management services, provided to an established patient, not originating from a related service provided within the previous 7 days nor leading to a service or procedure within the next 24 hours or soonest available appointment; 5-10 minutes of clinical discussion","Brief chkin, 5-10, non-e/m"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G2252,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m service provided within the previous 7 days nor leading to an e/m service or procedure within the next 24 hours or soonest available appointment; 11-20 minutes of medical discussion","Brief chkin by md/qhp, 11-20"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G3001,"Administration and supply of tositumomab, 450 mg
                                    
                                        
Terminated December 31, 2016.","Admin + supply, tositumomab"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G3002,"Chronic pain management and treatment, monthly bundle including, diagnosis; assessment and monitoring; administration of a validated pain rating scale or tool; the development, implementation, revision, and/or maintenance of a person-centered care plan that includes strengths, goals, clinical needs, and desired outcomes; overall treatment management; facilitation and coordination of any necessary behavioral health treatment; medication management; pain and health literacy counseling; any necessary chronic pain related crisis care; and ongoing communication and care coordination between relevant practitioners furnishing care, e.g. physical therapy and occupational therapy, complementary and integrative approaches, and community-based care, as appropriate. required initial face-to-face visit at least 30 minutes provided by a physician or other qualified health professional; first 30 minutes personally provided by physician or other qualified health care professional, per calendar month. (when using g3002, 30 minutes must be met or exceeded.)",Chronic pain mgmt 30 mins
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G3003,"Each additional 15 minutes of chronic pain management and treatment by a physician or other qualified health care professional, per calendar month. (list separately in addition to code for g3002. when using g3003, 15 minutes must be met or exceeded.)",Chronic pain mgmt addl 15m
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4000,Dermatology mips specialty set,Dermatology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4001,Diagnostic radiology mips specialty set,Diagnostic rad ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4002,Electrophysiology cardiac specialist mips specialty set,Ep cardio ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4003,Emergency medicine mips specialty set,Emergency med ss
